"year","usd","cntry_key"
1996,9059340117,"Aruba"
1997,62247953326.097,"Aruba"
1998,350827190535.908,"Aruba"
1999,9776223013,"Aruba"
2000,12257299163,"Aruba"
2001,125668333011.424,"Aruba"
2002,230169812870.228,"Aruba"
2003,255625458568.557,"Aruba"
2004,298457504559.711,"Aruba"
2005,319984891795.742,"Aruba"
2006,337547645241.268,"Aruba"
2007,369120444115.72,"Aruba"
2008,398485481571.876,"Aruba"
2009,387914185046.097,"Aruba"
2010,415287830018.266,"Aruba"
2011,466675708430.285,"Aruba"
