"rgn_id","year","count"
1,1988,5900
1,1989,5800
1,1990,5700
1,1991,6200
1,1992,7100
1,1993,6700
1,1994,6100
1,1995,7700
1,1996,8500
1,1997,8600
1,1998,9500
1,1999,9300
1,2000,8900
1,2001,8600
1,2002,8800
1,2003,8300
1,2004,9800
1,2005,10000
1,2006,9800
1,2007,10600
1,2008,11500
1,2009,11800
1,2010,12800
1,2011,12100
1,2012,14300
1,2013,14600
