"rgn_id","year","value"
1,1990,"0.123014327089617"
1,1991,"0.126747692503047"
1,1992,"0.128794248698499"
1,1993,"0.135367796609404"
1,1994,"0.135479861331773"
1,1995,"0.136014801958532"
1,1996,"0.139212890306395"
1,1997,"0.140457185640762"
1,1998,"0.143710628964861"
1,1999,"0.151856553849549"
1,2000,"0.145051550691893"
1,2001,"0.146712975326433"
1,2002,"0.147480969760766"
1,2003,"0.153972180258392"
1,2004,"0.144327545117833"
1,2005,"0.157768936342115"
1,2006,"0.149657650675626"
1,2007,"0.155560240962735"
1,2008,"0.157261267989933"
1,2009,"0.1540782113646"
1,2010,"0.145816287175742"
1,2011,"0.269314605005664"
1,2012,"0.14312225107198"
1,2013,"0.104270117298284"
