"sector","value","cntry_key"
"aqf",295279147112.073,"Aruba"
"cf",225559167389.419,"Aruba"
"mar",355395479689.39,"Aruba"
"mmw",325670454172.139,"Aruba"
"og",311961827092.183,"Aruba"
"tour",382756944426.422,"Aruba"
"wte",1.253817e+12,"Aruba"
