"rgn_id","sector","year","value"
1,"cf",1990,80419.4671
1,"cf",1994,195598.9546
1,"cf",1995,181352.22196
1,"cf",1996,98209.1814
1,"cf",1997,77810.2481333333
1,"cf",1998,91325.4299363636
1,"cf",1999,74263.713
1,"cf",2000,72805.9786086956
1,"cf",2001,29590.949304
1,"cf",2002,63874.5051921053
1,"cf",2003,222055.606822549
1,"cf",2004,199055.10889902
1,"cf",2005,226121.731171
1,"cf",2006,241445.098115789
1,"cf",2007,255510.189907692
1,"cf",2008,281560.366879518
1,"mar",1993,233477.5526518
1,"mar",1995,0
1,"mar",1996,28396.100857895
1,"mar",1997,29595.294933905
1,"mar",1998,7494.79030687057
1,"mar",1999,7288.82234370875
1,"mar",2000,21648.0701499567
1,"mar",2001,128858.813303486
1,"mar",2002,81998.9003379218
1,"mar",2003,146470.883705151
1,"mar",2004,134729.728442988
1,"mar",2005,68089.8078430783
1,"mar",2006,61006.3910489313
1,"mar",2007,75664.7138025543
1,"mar",2008,84442.3277808416
1,"mmw",1998,51.1036021505376
1,"mmw",2003,0
1,"mmw",2004,579.606666666667
1,"mmw",2005,27.2519230769231
1,"mmw",2006,76.7063888888889
1,"mmw",2007,3.83
1,"mmw",2008,70.1767222222222
1,"tour",2005,278378.170487879
1,"tour",2006,284449.82873645
1,"tour",2007,288186.971455651
1,"tour",2008,283234.551160341
1,"tour",2009,277859.271223583
1,"tour",2010,272385.722654017
1,"wte",2003,109.04
1,"wte",2004,109.04
1,"wte",2005,58.8675
1,"wte",2006,58.8675
1,"wte",2007,58.8675
1,"wte",2008,58.8675
1,"wte",2009,8.695
1,"wte",2010,8.695
