"rgn_id","species_code","year","tonnes"
1,32,2012,0
1,33,2003,41
1,33,2004,4
1,33,2005,9
1,33,2006,27
1,33,2007,0
1,33,2008,0
1,33,2009,0
1,33,2010,0
1,33,2011,0
1,33,2012,0
1,34,2003,4215
1,34,2004,3900
1,34,2005,2737
1,34,2006,2584
1,34,2007,2654
1,34,2008,0
1,34,2009,0
1,34,2010,0
1,34,2011,0
1,34,2012,0
1,35,2003,0
1,35,2004,0
1,35,2005,0
1,35,2006,0
1,35,2007,0
1,35,2008,0
1,35,2009,0
1,35,2010,0
1,35,2011,0
1,35,2012,0
1,36,2003,3365
1,36,2004,3723
1,36,2005,2964
1,36,2006,3300
1,36,2007,3284
1,36,2008,3088
1,36,2009,3985
1,36,2010,5280
1,36,2011,3970
1,36,2012,0
1,37,2003,0
1,37,2004,0
1,37,2005,0
1,37,2006,0
1,37,2007,0
1,37,2008,0
1,37,2009,0
1,37,2010,0
1,37,2011,0
1,37,2012,0
1,38,2003,0
1,38,2004,0
1,38,2005,0
1,38,2006,0
1,38,2007,0
1,38,2008,0
1,38,2009,0
1,38,2010,0
1,38,2011,0
1,38,2012,0
1,39,2003,2373
1,39,2004,4554
1,39,2005,2231
1,39,2006,3611
1,39,2007,2139
1,39,2008,4532
1,39,2009,3749
1,39,2010,3324
1,39,2011,1987
1,39,2012,2486
1,40,2003,5314
1,40,2004,5600
1,40,2005,4456
1,40,2006,4071
1,40,2007,4000
1,40,2008,0
1,40,2009,0
1,40,2010,0
1,40,2011,0
1,40,2012,0
1,41,2003,0
1,41,2004,0
1,41,2005,0
1,41,2006,0
1,41,2007,0
1,41,2008,0
1,41,2009,0
1,41,2010,0
1,41,2011,0
1,41,2012,0
1,42,2004,3
1,42,2005,3
1,42,2006,22
1,42,2007,0
1,42,2008,0
1,42,2009,0
1,42,2010,0
1,42,2011,0
1,42,2012,0
1,43,2003,0
1,43,2004,0
1,43,2005,0
1,43,2006,0
1,43,2007,0
1,43,2008,0
1,43,2009,0
1,43,2010,0
1,43,2011,0
1,43,2012,0
1,44,2003,42
1,44,2004,7
1,44,2005,7
1,44,2006,0
1,44,2007,0
1,44,2008,0
1,44,2009,2
1,44,2010,0
1,44,2011,0
1,44,2012,0
1,45,2003,0
1,45,2004,0
1,45,2005,0
1,45,2008,1
1,45,2009,1
1,45,2010,0
1,45,2011,0
1,45,2012,0
1,46,2004,1
1,46,2005,0
1,46,2006,0
1,46,2007,0
1,46,2008,0
1,46,2009,0
1,46,2010,0
1,46,2011,0
1,46,2012,0
1,47,2008,1
1,47,2009,1
1,47,2010,0
1,47,2011,0
1,47,2012,0
1,48,2003,3
1,48,2004,6
1,48,2005,2
1,48,2006,1
1,48,2007,1
1,48,2008,0
1,48,2009,0
1,48,2010,0
1,48,2011,0
1,48,2012,0
1,49,2003,1
1,49,2004,1
1,49,2005,1
1,49,2006,1
1,49,2007,0
1,49,2008,0
1,49,2009,0
1,49,2010,0
1,49,2011,0
1,49,2012,0
1,50,2009,49710
1,50,2010,43154
1,50,2011,56569
1,50,2012,57785
1,51,2009,2336
1,51,2010,841
1,51,2011,2364
1,51,2012,4381
1,52,2003,34101
1,52,2004,39493
1,52,2005,38049
1,52,2006,42413
1,52,2007,42320
1,52,2008,44140
1,52,2009,47839
1,52,2010,73825
1,52,2011,60290
1,52,2012,63220
1,53,2009,11500
1,53,2010,5297
1,53,2011,17777
1,53,2012,13144
1,54,2003,56503
1,54,2004,58044
1,54,2005,63052
1,54,2006,64700
1,54,2007,63600
1,54,2008,67197
1,54,2009,8061
1,54,2010,2125
1,54,2011,8071
1,54,2012,12230
1,55,2008,384
1,55,2009,85
1,55,2010,0
1,55,2011,0
1,55,2012,0
1,56,2003,0
1,56,2004,0
1,56,2005,0
1,56,2006,0
1,56,2007,0
1,56,2008,0
1,56,2009,0
1,56,2010,0
1,56,2011,0
1,56,2012,0
1,57,2003,10160
1,57,2004,11040
1,57,2005,10653
1,57,2006,7235
1,57,2007,2472
1,57,2008,2279
1,57,2009,4027
1,57,2010,6670
1,57,2011,5047
1,57,2012,5813
1,58,2003,20
1,58,2004,0
1,58,2005,10
1,58,2006,12
1,58,2007,15
1,58,2008,20
1,58,2009,10
1,58,2010,10
1,58,2011,8
1,58,2012,0
1,59,2003,15
1,59,2004,0
1,59,2005,20
1,59,2006,22
1,59,2007,34
1,59,2008,37
1,59,2009,20
1,59,2010,20
1,59,2011,0
1,59,2012,2
1,60,2003,85
1,60,2004,47
1,60,2005,86
1,60,2006,84
1,60,2007,100
1,60,2008,100
1,60,2009,80
1,60,2010,80
1,60,2011,84
1,60,2012,0
1,61,2003,85
1,61,2004,45
1,61,2005,95
1,61,2006,99
1,61,2007,100
1,61,2008,100
1,61,2009,100
1,61,2010,100
1,61,2011,118
1,61,2012,0
1,62,2012,97
1,63,2003,55
1,63,2004,15
1,63,2005,40
1,63,2006,48
1,63,2007,50
1,63,2008,50
1,63,2009,50
1,63,2010,50
1,63,2011,47
1,63,2012,50
1,64,2003,2196
1,64,2004,2682
1,64,2005,2110
1,64,2006,3413
1,64,2007,1385
1,64,2008,2025
1,64,2009,2025
1,64,2010,1908
1,64,2011,2370
1,64,2012,2675
1,65,2003,3
1,65,2004,0
1,65,2005,0
1,65,2006,0
1,65,2007,0
1,65,2008,0
1,65,2009,0
1,65,2010,0
1,65,2011,0
1,65,2012,0
1,66,2003,1
1,66,2004,0
1,66,2005,0
1,66,2006,0
1,66,2007,0
1,66,2008,0
1,66,2009,0
1,66,2010,0
1,66,2011,0
1,66,2012,0
1,67,2003,1
1,67,2004,0
1,67,2005,15
1,67,2006,15
1,67,2007,0
1,67,2008,0
1,67,2009,0
1,67,2010,0
1,67,2011,0
1,67,2012,0
1,68,2003,1
1,68,2004,0
1,68,2005,0
1,68,2006,0
1,68,2007,0
1,68,2008,0
1,68,2009,0
1,68,2010,0
1,68,2011,0
1,68,2012,0
1,69,2007,18
1,69,2008,14
1,69,2009,14
1,69,2010,5
1,69,2011,0
1,69,2012,0
1,70,2003,2
1,70,2004,1
1,70,2005,1
1,70,2006,1
1,70,2007,0
1,70,2008,0
1,70,2009,0
1,70,2010,0
1,70,2011,0
1,70,2012,0
1,71,2003,1
1,71,2004,0
1,71,2005,0
1,71,2006,0
1,71,2007,0
1,71,2008,0
1,71,2009,0
1,71,2010,0
1,71,2011,0
1,71,2012,0
1,72,2003,8608
1,72,2004,10380
