"sector","value","cntry_key"
"aqf",4586731.18539369,"Aruba"
"cf",3026921894.35231,"Aruba"
"mar",829963225.63242,"Aruba"
"mmw",19022950.6642991,"Aruba"
"og",5579274011.748,"Aruba"
"tour",38861358129.7984,"Aruba"
"wte",26816650.389788,"Aruba"
