"rgn_id","year","jobs"
1,1990,71836.1181476984
1,1991,73170.9401586996
1,1992,74292.4875762689
1,1993,75536.2337583124
1,1994,76724.8075597787
1,1995,77806.6121993195
1,1996,78868.5950041787
1,1997,79913.6714762835
1,1998,80816.8177596496
1,1999,81807.876447729
1,2000,82662.8099615461
1,2001,83957.7495316102
1,2002,85275.8546508813
1,2003,86675.6214392239
1,2004,87933.7054557469
1,2005,89763.3532414028
1,2006,91351.9677202171
1,2007,93412.5807953656
1,2008,95011.5715181726
1,2009,97254.7802172828
1,2010,98380.2010313189
1,2011,99651.8647374235
1,2012,100941.776007886
