"sector","value","cntry_key"
"aqf",415250053887.28,"Aruba"
"cf",373033934597.425,"Aruba"
"mar",535288338407.507,"Aruba"
"mmw",603919540930.895,"Aruba"
"og",423760578977.632,"Aruba"
"tour",528183463434.097,"Aruba"
"wte",2.0552e+12,"Aruba"
