"sector","value","cntry_key"
"cf",205923.075214394,"Aruba"
"mar",54809.6193884888,"Aruba"
"mmw",88.1659134615385,"Aruba"
"tour",272385.722654017,"Aruba"
"wte",58.8675,"Aruba"
