"rgn_id","year","popsum"
1,2005,121238
1,2006,125136
1,2007,129034
1,2008,132933
1,2009,136831
1,2010,140729
1,2011,144686
1,2012,148642
1,2013,152599
1,2014,156555
1,2015,160511
