"sector","value","cntry_key"
"aqf",3355663.91445562,"Aruba"
"cf",3228570891.65781,"Aruba"
"mar",666069609.410114,"Aruba"
"mmw",11519331.881215,"Aruba"
"og",4282427881.05464,"Aruba"
"tour",9172544815.36515,"Aruba"
"wte",25091043.064178,"Aruba"
