"rgn_id","product","year","tonnes_rel"
1,"shells",1976,0.553661350460482
1,"shells",1977,0.609397001066165
1,"shells",1978,0.627850064458105
1,"shells",1979,0.648177092773364
1,"shells",1980,0.650839907403718
1,"shells",1981,0.625642892515619
1,"shells",1982,0.6039177386253
1,"shells",1983,0.598457589036097
1,"shells",1984,0.659494585923724
1,"shells",1985,0.675797949838057
1,"shells",1986,0.681566152442413
1,"shells",1987,0.70744184522309
1,"shells",1988,0.697439516790452
1,"shells",1989,0.622010829963395
1,"shells",1990,0.501878325560309
1,"shells",1991,0.435282881853223
1,"shells",1992,0.436740225449035
1,"shells",1993,0.401870932978147
1,"shells",1994,0.436516773536531
1,"shells",1995,0.463627339113917
1,"shells",1996,0.479622413698358
1,"shells",1997,0.529118721431068
1,"shells",1998,0.483874067825924
1,"shells",1999,0.443277245355629
1,"shells",2000,0.47886603471156
1,"shells",2001,0.475277288436645
1,"shells",2002,0.506245792652243
1,"shells",2003,0.545221091332442
1,"shells",2004,0.575825365091823
1,"shells",2005,0.571367845999429
1,"shells",2006,0.559265391360584
1,"shells",2007,0.583906611097526
1,"shells",2008,0.617383263362357
1,"shells",2009,0.609545823997971
1,"shells",2010,0.585122601793446
1,"shells",2011,0.577418463223094
1,"sponges",1976,0.382005625523983
1,"sponges",1977,0.354142422668513
1,"sponges",1978,0.350235569336115
1,"sponges",1979,0.34317209423885
1,"sponges",1980,0.313228403779103
1,"sponges",1981,0.276352386295038
1,"sponges",1982,0.254141853947675
1,"sponges",1983,0.244811651382647
1,"sponges",1984,0.272754254988124
1,"sponges",1985,0.274463377891515
1,"sponges",1986,0.318273907630408
1,"sponges",1987,0.337316271138058
1,"sponges",1988,0.336090516894178
1,"sponges",1989,0.314890525920151
1,"sponges",1990,0.34304774224177
1,"sponges",1991,0.464312291467138
1,"sponges",1992,0.499868319449669
1,"sponges",1993,0.525780320152742
1,"sponges",1994,0.561553513237719
1,"sponges",1995,0.532613155530165
1,"sponges",1996,0.460356518318862
1,"sponges",1997,0.465921983585677
1,"sponges",1998,0.52961586382428
1,"sponges",1999,0.5183774452969
1,"sponges",2000,0.534893640706183
1,"sponges",2001,0.586748911864293
1,"sponges",2002,0.622650946920597
1,"sponges",2003,0.610189590034056
1,"sponges",2004,0.56931310922408
1,"sponges",2005,0.515187377715702
1,"sponges",2006,0.460302205828974
1,"sponges",2007,0.38025664433648
1,"sponges",2008,0.326240591827352
1,"sponges",2009,0.302464514731904
1,"sponges",2010,0.257425491999054
1,"sponges",2011,0.251035838206055
