"year","usd","cntry_key"
1996,9059340117,"Aruba"
1997,58909346720.169,"Aruba"
1998,337763894668.2,"Aruba"
1999,42560304080.2,"Aruba"
2000,44725670712.6667,"Aruba"
2001,141994998115.412,"Aruba"
2002,229508050179.479,"Aruba"
2003,214200805092.865,"Aruba"
2004,294448073951.009,"Aruba"
2005,312588472116.956,"Aruba"
2006,337125894721.297,"Aruba"
2007,368114019706.633,"Aruba"
2008,399426460570.281,"Aruba"
2009,394790344312.893,"Aruba"
2010,417349430437.008,"Aruba"
2011,466675708430.285,"Aruba"
