"rgn_id","product","year","usd_rel"
1,"shells",1976,0.39764368476503
1,"shells",1977,0.459117323569525
1,"shells",1978,0.510519807284419
1,"shells",1979,0.546275102972708
1,"shells",1980,0.540779780672642
1,"shells",1981,0.46944239499617
1,"shells",1982,0.416009069472135
1,"shells",1983,0.387940201376449
1,"shells",1984,0.443963328700907
1,"shells",1985,0.531353036312384
1,"shells",1986,0.616235708247698
1,"shells",1987,0.653252697798694
1,"shells",1988,0.646681972589025
1,"shells",1989,0.55587711378848
1,"shells",1990,0.472524029773652
1,"shells",1991,0.424235894581266
1,"shells",1992,0.415728558713628
1,"shells",1993,0.391551083585887
1,"shells",1994,0.422906038327723
1,"shells",1995,0.40483570864511
1,"shells",1996,0.453475456910133
1,"shells",1997,0.489438222681652
1,"shells",1998,0.467533058504619
1,"shells",1999,0.400430521926742
1,"shells",2000,0.404828405677423
1,"shells",2001,0.414670939466997
1,"shells",2002,0.479415746167632
1,"shells",2003,0.531624672697374
1,"shells",2004,0.573272927456671
1,"shells",2005,0.578841080387796
1,"shells",2006,0.57484856076462
1,"shells",2007,0.623551690152922
1,"shells",2008,0.661306321215854
1,"shells",2009,0.659340156723287
1,"shells",2010,0.63345697634906
1,"shells",2011,0.604442668514609
1,"sponges",1976,0.556651919279353
1,"sponges",1977,0.569881784246529
1,"sponges",1978,0.592509059443808
1,"sponges",1979,0.565536785591162
1,"sponges",1980,0.544785399726564
1,"sponges",1981,0.54755550334541
1,"sponges",1982,0.517658963720959
1,"sponges",1983,0.508374383109623
1,"sponges",1984,0.555521847984878
1,"sponges",1985,0.595522346545191
1,"sponges",1986,0.619067279533889
1,"sponges",1987,0.617469305765059
1,"sponges",1988,0.600993371481283
1,"sponges",1989,0.610478822920373
1,"sponges",1990,0.560767731082715
1,"sponges",1991,0.563899204448007
1,"sponges",1992,0.610541821710044
1,"sponges",1993,0.598894989563105
1,"sponges",1994,0.567119973986086
1,"sponges",1995,0.605368482080462
1,"sponges",1996,0.576033055455564
1,"sponges",1997,0.588653819027175
1,"sponges",1998,0.643857674307339
1,"sponges",1999,0.6096057711956
1,"sponges",2000,0.595739020893793
1,"sponges",2001,0.587828046011105
1,"sponges",2002,0.612097611773084
1,"sponges",2003,0.617342984485947
1,"sponges",2004,0.632777626087146
1,"sponges",2005,0.619697068677445
1,"sponges",2006,0.565040421787714
1,"sponges",2007,0.469295564270145
1,"sponges",2008,0.398568893345629
1,"sponges",2009,0.338923119101483
1,"sponges",2010,0.314568322549667
1,"sponges",2011,0.291487151528503
