"rgn_id","product","year","usd"
1,"shells",1982,1730.58854166667
1,"shells",1983,1628.015625
1,"shells",1984,1921.890625
1,"shells",1985,2093.515625
1,"shells",1986,2366.546875
1,"shells",1987,2324.875
1,"shells",1988,2050.734375
1,"shells",1989,1680.453125
1,"shells",1990,1223.85087719298
1,"shells",1991,1117.35526315789
1,"shells",1992,1094.26315789474
1,"shells",1993,1087.5
1,"shells",1994,942.84446401181
1,"shells",1995,961.455048786266
1,"shells",1996,760.236559139785
1,"shells",1997,773.964646464646
1,"shells",1998,729.674242424242
1,"shells",1999,630.569047619048
1,"shells",2000,566.6625
1,"shells",2001,523.965909090909
1,"shells",2002,517.965579710145
1,"shells",2003,592.709150326797
1,"shells",2004,690.709090909091
1,"shells",2005,757.787356321839
1,"shells",2006,861.289548022599
1,"shells",2007,857.401639344262
1,"shells",2008,878.766393442623
1,"shells",2009,922.315573770492
1,"shells",2010,915.524590163934
1,"shells",2011,1009.02459016393
1,"sponges",1976,773.809523809523
1,"sponges",1977,731.003077729933
1,"sponges",1978,801.378077729933
1,"sponges",1979,755.910143167348
1,"sponges",1980,678.360795517279
1,"sponges",1981,628.052462183946
1,"sponges",1982,508.002238349042
1,"sponges",1983,479.524965621769
1,"sponges",1984,493.138601985406
1,"sponges",1985,536.524965621769
1,"sponges",1986,576.752238349042
1,"sponges",1987,647.320420167224
1,"sponges",1988,603.4464962644
1,"sponges",1989,590.252051819955
1,"sponges",1990,709.303927465235
1,"sponges",1991,595.342442309816
1,"sponges",1992,550.353391901794
1,"sponges",1993,532.796573719976
1,"sponges",1994,433.059553895289
1,"sponges",1995,491.534154061315
1,"sponges",1996,520.801869521703
1,"sponges",1997,545.071453187054
1,"sponges",1998,574.664989195413
1,"sponges",1999,539.134419872968
1,"sponges",2000,456.563115545987
1,"sponges",2001,402.019365545987
1,"sponges",2002,358.043283459499
1,"sponges",2003,355.842063947304
1,"sponges",2004,345.652889423893
1,"sponges",2005,390.073470998042
1,"sponges",2006,436.731857450241
1,"sponges",2007,465.164634146341
1,"sponges",2008,488.30487804878
1,"sponges",2009,454.34756097561
1,"sponges",2010,420.268292682927
1,"sponges",2011,383.975609756098
